user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned,gender_code,is_anomaly,anomaly_score,predicted_gender,correct_prediction,prediction_uncertainty
U133553,41,Female,Japan,2,Standard,7.99,Debit Card,Tablet,3,Horror,187,5,10,97,2.3,28,57,6,No,1,False,0,Female,True,0.26
U109427,42,Other,India,51,Basic,7.99,Credit Card,Laptop,2,Sci-Fi,250,2,8,89,4.2,37,4,15,No,2,False,0,Other,True,0.26
U100199,29,Male,Australia,33,Standard,7.99,Debit Card,Tablet,1,Sci-Fi,279,9,13,44,2.7,3,4,14,No,0,False,1,Male,True,0.31000000000000005
U112447,37,Other,Germany,34,Standard,12.99,UPI,Mobile,1,Sci-Fi,291,13,5,82,3.3,40,79,57,Yes,2,False,1,Other,True,0.21999999999999997
U139489,58,Male,UK,7,Standard,15.99,Debit Card,Tablet,3,Romance,40,17,10,52,1.1,41,58,27,No,0,False,0,Female,False,0.5700000000000001
U142724,44,Female,France,24,Standard,12.99,UPI,Laptop,2,Documentary,218,7,10,60,2.2,7,16,7,No,1,False,0,Female,True,0.21999999999999997
U110822,50,Male,Germany,29,Premium,12.99,Debit Card,Laptop,3,Thriller,293,7,9,76,1.8,35,33,0,No,0,False,0,Male,True,0.26
U149498,18,Male,UK,50,Standard,7.99,Credit Card,Mobile,2,Sci-Fi,47,3,3,66,2.8,8,70,48,No,0,False,0,Male,True,0.6
U104144,60,Female,Canada,54,Standard,12.99,Credit Card,Tablet,1,Action,225,6,14,56,3.4,20,30,11,No,1,False,0,Female,True,0.24
U136958,58,Male,Australia,11,Premium,7.99,PayPal,Smart TV,2,Sci-Fi,185,15,13,58,4.3,17,20,1,No,0,False,0,Female,False,0.61
U143106,40,Female,Japan,50,Standard,7.99,Credit Card,Laptop,3,Thriller,51,13,3,48,3.2,3,43,23,No,1,False,0,Female,True,0.33999999999999997
U138695,32,Female,France,23,Premium,12.99,Debit Card,Laptop,2,Drama,266,7,14,98,4.4,46,13,47,Yes,1,False,0,Female,True,0.24
U106188,49,Male,Spain,8,Standard,12.99,Credit Card,Mobile,3,Sci-Fi,156,15,14,54,1.9,33,62,26,Yes,0,False,0,Female,False,0.56
U101414,42,Female,Spain,38,Basic,15.99,UPI,Tablet,3,Documentary,284,6,14,92,3.2,10,98,23,No,1,False,1,Female,True,0.29000000000000004
U118471,56,Female,India,8,Standard,12.99,Credit Card,Smart TV,3,Documentary,159,4,4,59,1.3,21,29,15,No,1,False,0,Female,True,0.31999999999999995
U129282,34,Male,Japan,58,Basic,7.99,Debit Card,Laptop,1,Comedy,173,14,6,37,1.8,26,64,8,No,0,False,0,Male,True,0.13
U115177,55,Female,Germany,31,Basic,15.99,Debit Card,Mobile,2,Drama,258,18,7,99,1.6,37,53,2,No,1,False,1,Female,True,0.6
U134304,27,Other,UK,17,Standard,7.99,UPI,Smart TV,1,Comedy,291,14,10,31,4.6,10,20,4,No,2,True,3,Other,True,0.27
U112609,20,Female,Spain,38,Standard,7.99,Debit Card,Laptop,3,Comedy,145,6,8,78,3.4,34,47,14,No,1,False,0,Female,True,0.28
U112144,48,Female,Germany,5,Standard,15.99,Debit Card,Tablet,3,Romance,204,1,10,33,2.6,40,86,5,Yes,1,False,2,Female,True,0.62
U106113,37,Male,Spain,47,Premium,7.99,Debit Card,Mobile,2,Sci-Fi,217,6,12,79,3.7,13,9,31,No,0,False,0,Male,True,0.21999999999999997
U115908,34,Female,Japan,48,Standard,15.99,UPI,Smart TV,1,Thriller,198,5,3,52,2.6,3,87,11,No,1,False,0,Female,True,0.18999999999999995
U100821,64,Male,Japan,33,Standard,7.99,PayPal,Mobile,1,Comedy,31,18,3,34,4.7,2,46,49,No,0,True,3,Male,True,0.27
U115118,32,Other,Australia,1,Standard,12.99,PayPal,Mobile,3,Romance,58,14,2,50,4.7,17,79,5,No,2,False,0,Other,True,0.29000000000000004
U113466,31,Male,Germany,9,Basic,7.99,Debit Card,Tablet,1,Action,83,11,3,30,1.5,19,16,2,No,0,False,0,Other,False,0.61
